retweet_count,author,text,date_clean
6706,HeyAbhishekk,"100 AI Tools to replace your tedious work:

1. Research

- ChatGPT
- YouChat
- Abacus
- Perplexity
- Copilot
- Gemini

2. Image

- Fotor
- Stability AI
- Midjourney
- Microsoft Designer

3. CopyWriting

- Rytr
- Copy AI
- Writesonic
- Adcreative AI

4. Writing

- Jasper
- HIX AI… https://t.co/Vbj0eHFBxi",2024-08-11 13:42:55+00:00
3596,ylecun,"This is huge: Llama-v2 is open source, with a license that authorizes commercial use!

This is going to change the landscape of the LLM market.
Llama-v2 is available on Microsoft Azure and will be available on AWS, Hugging Face and other providers

Pretrained and fine-tuned…",2023-07-18 16:13:02+00:00
3100,geoffreyhinton,"In the NYT today, Cade Metz implies that I left Google so that I could criticize Google. Actually, I left so that I could talk about the dangers of AI without considering how this impacts Google. Google has acted very responsibly.",2023-05-01 11:09:13+00:00
2570,HeyAbhishekk,"People are making millions of dollars using ChatGPT in 2023.

But most people don’t know the best ways to use ChatGPT. 

That's why I built this Ultimate ChatGPT Swipe File.

To get it,
• Like
• Retweet
• Reply 'Chat'

Must be following (So my DM sends) https://t.co/DF2H8uP0eO",2023-03-19 11:29:02+00:00
2506,HeyAbhishekk,"100 AI Tools to replace your tedious work:

1. Research

- ChatGPT
- YouChat
- Abacus
- Perplexity
- Copilot
- Gemini

2. Image

- Fotor
- Stability AI
- Midjourney
- Microsoft Designer

3. CopyWriting

- Rytr
- Copy AI
- Writesonic
- Adcreative AI

4. Writing

- Jasper
- HIX AI… https://t.co/4dn2gB2Zf4",2024-07-14 10:44:23+00:00
2398,HeyAbhishekk,"ChatGPT is just the tip of the iceberg

GPT-4 will make you superhuman.

But most people don’t know the best ways to use AI
  
I just built Ultimate GPT-4 Crash Course.

To get it, 
• Like 
• Retweet 
• Reply 'GPT4'

Must be following (So my DM sends) https://t.co/2uw7t2zKb0",2023-04-05 07:30:00+00:00
2272,ylecun,"My opinion of @elonmusk
I like his cars (I own a 2015 S, and 2023 S), his rockets, his solar energy systems, and his satellite communication system.
I also like his positions on open source and patents.

But I very much disagree with him on a number of issues.

I disagree with…",2024-06-02 14:14:51+00:00
2051,ylecun,"You know @elonmusk, I really feel sorry for you and your family to have been infected by a mind virus.
But the best defense against a mind virus is intelligence, knowledge, and science.

Fighting a mind virus by promoting other mental pathogens, like Trumpism, conspiracy…",2024-07-25 10:50:07+00:00
1891,HeyAbhishekk,"10 AI Tools to replace your tedious work:

1. Reseach

- ChatGPT
- Perplexity
- Copilot 
- Gemini

2. Image

- Leap AI
- Bing AI
- Segmind
- Midjourney
- Stable Diffusion

3. CopyWriting

- Rytr
- Copy AI
- Writesonic
- Adcreative AI

4. Writing

- Jasper
- HIX AI
- Jenny AI
-…",2024-03-08 13:50:17+00:00
1863,ylecun,"X is a $44 billion propaganda machine. Yet it attempts to disguise itself as a defender of unfettered free speech, a source of factual information, and a substitute for professional journalism.",2024-07-21 07:56:08+00:00
1831,AIatMeta,"We’re pleased to introduce Make-A-Video, our latest in #GenerativeAI research! With just a few words, this state-of-the-art AI system generates high-quality videos from text prompts.

Have an idea you want to see? Reply w/ your prompt using #MetaAI and we’ll share more results. https://t.co/q8zjiwLBjb",2022-09-29 14:39:24+00:00
1820,ylecun,"Must have been my tweet in defense of Anthony Fauci.

Elon's call for Fauci to be prosecuted and imprisoned is pretty high up on the scale of anti-science assholery.

Apparently, mistreating scientists is habit, whether they work for him or not.",2024-06-03 21:30:40+00:00
1798,ylecun,"- Engineer: I invented this new thing. I call it a ballpen 🖊️
- TwitterSphere: OMG, people could write horrible things with it, like misinformation, propaganda, hate speech. Ban it now!
- Writing Doomers: imagine if everyone can get a ballpen. This could destroy society. There…",2023-05-18 22:58:36+00:00
1789,AIatMeta,"Today we're releasing the Segment Anything Model (SAM) — a step toward the first foundation model for image segmentation.

SAM is capable of one-click segmentation of any object from any photo or video + zero-shot transfer to other segmentation tasks ➡️ https://t.co/qYUoePrWVi https://t.co/zX4Rxb5Yfo",2023-04-05 13:01:43+00:00
1765,ylecun,"* Language is low bandwidth: less than 12 bytes/second. A person can read 270 words/minutes, or 4.5 words/second, which is 12 bytes/s (assuming 2 bytes per token and 0.75 words per token). A modern LLM is typically trained with 1x10^13 two-byte tokens, which is 2x10^13 bytes.…",2024-03-09 16:17:59+00:00
1752,HeyAbhishekk,"AI just killed PowerPoint.

No more tedious slide creations and watching hours-long tutorials.

Introducing Decktopus, the only AI presentation tool you will ever need (It's 100% free):",2023-06-22 12:44:40+00:00
1696,HeyAbhishekk,Copy and Paste these ChatGPT prompts to finish hours of work in seconds: https://t.co/k2NXQ2Vyiw,2024-08-27 13:44:02+00:00
1662,HeyAbhishekk,"FREE certification course from Google:

1. Data Science with Python.
https://t.co/wT0mP9gYjL

2. Digital marketing.
https://t.co/MaJLaJ61sP

3. Machine Learning.
https://t.co/ddRz9Z3F8R

4. Google IT Support Professional Certificate.
https://t.co/dARXjSgyap

5. Python Basics for… https://t.co/LD0E3hKoyk",2023-08-27 08:14:39+00:00
1632,HeyAbhishekk,"20 AI Tools to replace your tedious work:

1. Research

- ChatGPT
- YouChat
- Perplexity
- Copilot 
- Gemini

2. Image

- Leap AI
- Copilot
- Segmind
- Midjourney
- Stable Diffusion

3. CopyWriting

- Rytr
- Copy AI
- Writesonic
- Adcreative AI

4. Writing

- Jasper
- HIX AI
-…",2024-03-24 13:53:13+00:00
1532,HeyAbhishekk,"ChatGPT is just the tip of the iceberg

GPT-4 will make you superhuman.

But most people don’t know the best ways to use AI

I just built Ultimate GPT-4 Crash Course.  

To get it,
• Like
• Retweet
• Reply 'GPT4'  

Must be following (So my DM sends) https://t.co/TX6tzKs6vY",2023-04-09 07:29:00+00:00
